codeP,date,spe,sp_check,region,site,depth,season,P,I,Volume,Weight,Surface,Vi,V.bio,W.fil,W.fil.tis,W.fil.tis.bur,countS.1,countS.2,countS.3,countS.4,countS.5,countS.6,countC.1,countC.2,countC.3,countC.4,countC.5,countC.6,V.chl.slurry,V.extraction.T,V.extraction.S,A750T,A664T,A647T,A630T,A750S,A664S,A647S,A630S,SDS1V,V.prot.slurry,STC,STCX4,STCX3,STCX2,STCX1,STCE,abs.prot.blank,abs.prot.zoox1,abs.prot.zoox2,abs.prot.zoox3,abs.prot.host1,abs.prot.host2,abs.prot.host3,STC-2 (for host),STCX4b,STCX3b,STCX2b,STCX1b,STCEb,abs.prot.blank.b,Hdelta15N,Hdelta13C,Zdelta15N,Zdelta13C,H_N%,H_C%,Z_N%,Z_C%,SST_mean,SST_sd,light_mean,light_sd
CYPSBA3,2/10/2017,C. microphthalma,1,NT,Bitou,10,s,1,1,5367.7261,5.647,2232.0425,10,1,0.0905,0.1084,0.1031,260,205,210,315,255,225,19,33,9,41,17,42,3,10,10,0.001,0.292,0.084,0.095,0.006,0.791,0.401,0.237,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,0.76,0.7321,NA,1.2753,1.3012,NA,NA,NA,NA,NA,NA,NA,NA,4.936,-15.322,4.652,-15.146,0.543994,4.6878298,4.3151481,34.9154662,28.61901639,0.356364537,22.1440168,3.455177367
CYPSBA5,2/10/2017,C. microphthalma,1,NT,Bitou,10,s,1,1,35541.9961,38.1317,11177.96,10,1,0.0898,0.1087,0.1025,310,345,265,465,455,375,21,48,14,38,23,34,3,10,10,0.005,0.354,0.104,0.118,0.009,1.272,0.484,0.351,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,NA,0.9837,NA,1.9113,1.9606,NA,NA,NA,NA,NA,NA,NA,NA,5.51,-14.808,4.564,-14.218,0.3862406,3.4559983,3.8978584,31.2597024,28.61901639,0.356364537,22.1440168,3.455177367
CYPSBA7,2/10/2017,C. microphthalma,1,NT,Bitou,10,s,1,1,18975.7773,30.3606,5503.7646,10,1,0.0893,0.1078,0.1028,104,139,109,101,440,445,19,24,13,27,16,27,3,10,10,0,0.196,0.057,0.065,0.008,0.625,0.251,0.135,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,0.6175,0.6275,NA,0.9884,1.0065,NA,NA,NA,NA,NA,NA,NA,NA,5.818,-14.819,4.651,-14.674,0.4762402,4.1905978,3.677729,31.4079892,28.61901639,0.356364537,22.1440168,3.455177367
CYPSBA8,2/10/2017,C. microphthalma,1,NT,Bitou,10,s,1,1,6609.6592,12.8529,3613.4751,10,1,0.0894,0.1085,0.1024,485,460,350,435,445,475,95,54,30,41,25,38,3,10,10,0.001,0.171,0.052,0.073,0.033,0.518,0.258,0.157,3,5,STC.2018.01.25,-88.595,299.65,-109.83,642.75,-2.1816,0.0901,0.8816,0.8756,NA,1.2877,1.3273,NA,NA,NA,NA,NA,NA,NA,NA,2.917,-17.772,4.24,-17.308,0.3372085,3.4451955,2.5346055,22.3875706,28.61901639,0.356364537,22.1440168,3.455177367
ISPSS1,18/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,33605.07813,50.9318,9814.505859,10,1,0.0899,0.1102,0.1034,135,170,115,125,165,130,3,6,8,6,6,13,3,10,10,0.002,0.233,0.067,0.074,0.007,0.362,0.214,0.135,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.4364,1.4828,NA,1.4473,1.4203,NA,NA,NA,NA,NA,NA,NA,NA,3.265,-14.161,3.218,-14.399,1.4322528,10.68923,6.98,48.56,28.34967213,1.07605602,44.06271592,4.294457341
ISPSS2,18/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,41979.44922,69.2446,22741.92578,10,1,0.0902,0.1107,0.1038,115,145,135,105,135,125,15,11,3,9,6,5,3,10,10,0.003,0.152,0.049,0.056,0.003,0.294,0.136,0.104,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.1646,1.1631,NA,1.3552,1.3336,NA,NA,NA,NA,NA,NA,NA,NA,2.647,-11.647,2.141,-12.203,0.88,10.04,7.06,56.22,28.34967213,1.07605602,44.06271592,4.294457341
ISPSS3,18/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,47749.94531,70.2653,15525.01953,10,1,0.089,0.1077,0.1011,110,180,115,170,105,110,9,14,9,18,19,12,3,10,10,0.002,0.151,0.044,0.051,0.005,0.188,0.071,0.062,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.2107,1.295,NA,1.7063,1.6925,NA,NA,NA,NA,NA,NA,NA,NA,3.863,-12.73,2.66,-13.417,1.650289,11.5938491,7.14,48.85,28.34967213,1.07605602,44.06271592,4.294457341
ISPSS4,18/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,38221.82813,58.8155,11648.87402,10,1,0.0901,0.109,0.1031,90,130,175,185,105,145,17,13,14,15,10,14,3,10,10,0.002,0.134,0.039,0.042,0.005,0.767,0.446,0.23,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.0039,1.0659,NA,1.1978,1.2007,NA,NA,NA,NA,NA,NA,NA,NA,3.095,-14.322,2.473,-14.969,0.97708,10.3927129,6.42,54.74,28.34967213,1.07605602,44.06271592,4.294457341
ISPSS5,18/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,27858.51563,41.375,10319.08301,10,1,0.0909,0.1096,0.1039,130,90,135,125,130,105,20,19,15,23,12,19,3,10,10,0.002,0.115,0.036,0.041,0.004,0.505,0.352,0.171,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.0717,1.141,NA,1.306,1.3121,NA,NA,NA,NA,NA,NA,NA,NA,3.513,-12.683,2.208,-12.662,1.1987201,9.416657,7.19,55.89,28.34967213,1.07605602,44.06271592,4.294457341
ISPSS6,19/07/2017,I. palifera,1,GI,Guiwan ,10,s,1,1,47432.38672,70.1726,15432.29785,10,1,0.0902,0.1096,0.1031,175,165,190,105,110,90,20,15,23,24,22,26,3,10,10,0.002,0.181,0.055,0.063,0.003,0.278,0.134,0.091,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.113,1.2062,NA,1.7112,1.712,NA,NA,NA,NA,NA,NA,NA,NA,2.946,-11.905,2.195,-11.968,0.8457247,10.7146917,6.13,58.58,28.34967213,1.07605602,44.06271592,4.294457341
ISPDS1,20/07/2017,I. palifera,1,GI,Guiwan ,40,s,1,1,62277.09375,96.2542,16934.08398,10,1,0.0908,0.1102,0.104,220,185,185,200,140,200,3,17,8,14,3,16,3,10,10,0.002,0.254,0.073,0.08,0.004,0.25,0.104,0.084,2,5,STC.2017.10.30,-15.022,67.482,23.059,707.69,-2.0896,0.1027,1.0865,1.1355,NA,1.2486,1.2627,NA,NA,NA,NA,NA,NA,NA,NA,3.825,-14.322,3.377,-14.612,1.1024152,8.7836918,3.62,55.24,28.34967213,1.07605602,19.06912032,4.17121641
